benchmark,model,mlir_baseline,v0_exec_time,v0_speedup,v45_exec_time,v45_speedup,v45_vs_v0_ratio,pytorch_eager,pytorch_jit
albert_batch_matmul_3,albert,30468,6781419.0,0.0045,108311.0,0.2813,62.6106,12153,18694
albert_block_1004,albert,23603852,14019861.0,1.6836,5265146.0,4.483,2.6628,206371,212897
albert_block_1061,albert,15810,6820.0,2.3182,6331.0,2.4972,1.0772,1681,8930
albert_block_1072,albert,23425334,6395777.0,3.6626,5203596.0,4.5018,1.2291,4481,8737
albert_block_1073,albert,22639908,15697071.0,1.4423,5260886.0,4.3034,2.9837,18466,25156
albert_block_1093,albert,21114649,21298125.0,0.9914,7690248.0,2.7456,2.7695,57314,64549
albert_block_1094,albert,38985,39891.0,0.9773,29751.0,1.3104,1.3408,6530,11713
albert_block_1095,albert,20910827,13652790.0,1.5316,5158309.0,4.0538,2.6468,203275,230495
albert_block_11,albert,1839089,10616093.0,0.1732,825887.0,2.2268,12.8542,6626,11512
albert_block_1103,albert,38930,42870.0,0.9081,35390.0,1.1,1.2114,6495,11826
albert_block_1104,albert,33393,21590.0,1.5467,18080.0,1.847,1.1941,4463,8592
albert_block_1118,albert,92698042,124813962.0,0.7427,118127724.0,0.7847,1.0566,2447,6152
albert_block_1130,albert,85350753,139767499.0,0.6107,71432010.0,1.1949,1.9567,215205,202730
albert_block_115,albert,31954,25441.0,1.256,21520.0,1.4849,1.1822,6385,11618
albert_block_1167,albert,23781,21361.0,1.1133,12349.0,1.9257,1.7298,6434,11701
albert_block_117,albert,29016,23710.0,1.2238,18310.0,1.5847,1.2949,6428,11718
albert_block_1175,albert,20821938,13421609.0,1.5514,5163339.0,4.0326,2.5994,18039,24459
albert_block_1178,albert,22587837,12601264.0,1.7925,5175656.0,4.3642,2.4347,18039,24150
albert_block_1179,albert,20822633,8621691.0,2.4151,5174519.0,4.0241,1.6662,17211,24922
albert_block_1192,albert,21902,12390363.0,0.0018,32360.0,0.6768,382.8913,7645,14018
albert_block_126,albert,20843519,25529590.0,0.8164,5162289.0,4.0377,4.9454,18650,24439
albert_block_1265,albert,38283,44760.0,0.8553,32161.0,1.1904,1.3917,6418,11388
albert_block_1266,albert,34799,38950.0,0.8934,38310.0,0.9084,1.0167,6355,11502
albert_block_127,albert,20917461,17148050.0,1.2198,5156520.0,4.0565,3.3255,4388,8735
albert_block_149,albert,39122,41930.0,0.933,36960.0,1.0585,1.1345,6361,11612
albert_block_161,albert,31544,24970.0,1.2633,23250.0,1.3567,1.074,7442,11590
albert_block_162,albert,12870,7100.0,1.8127,6420.0,2.0047,1.1059,1617,9351
albert_block_163,albert,29855,23370.0,1.2775,22271.0,1.3405,1.0493,6290,12982
albert_block_17,albert,22614502,29693214.0,0.7616,6004295.0,3.7664,4.9453,6675,11520
albert_block_18,albert,22451395,23113195.0,0.9714,5952915.0,3.7715,3.8827,3942,18961
albert_block_2,albert,5444,6080.0,0.8954,5691.0,0.9566,1.0684,5195,9919
albert_block_222,albert,29488,21480.0,1.3728,13360.0,2.2072,1.6078,6631,11889
albert_block_235,albert,22618893,14558405.0,1.5537,5328837.0,4.2446,2.732,4429,8519
albert_block_255,albert,22776378,12740044.0,1.7878,5138456.0,4.4325,2.4794,205596,211061
albert_block_260,albert,21056279,17400532.0,1.2101,5194080.0,4.0539,3.3501,203720,211715
albert_block_265,albert,35439,52610.0,0.6736,33310.0,1.0639,1.5794,6456,11622
albert_block_283,albert,85904034,104968615.0,0.8184,73412195.0,1.1702,1.4299,195371,202570
albert_block_290,albert,85121556,73794242.0,1.1535,72382087.0,1.176,1.0195,199109,206890
albert_block_309,albert,40893,37841.0,1.0807,26520.0,1.542,1.4269,7894,11816
albert_block_336,albert,21140726,15464820.0,1.367,5157689.0,4.0989,2.9984,19277,24395
albert_block_338,albert,20987690,11376846.0,1.8448,5189079.0,4.0446,2.1925,19438,23758
albert_block_365,albert,20892198,9133344.0,2.2875,5131038.0,4.0717,1.78,202220,209416
albert_block_369,albert,32922,21580.0,1.5256,19540.0,1.6849,1.1044,4438,8432
albert_block_374,albert,20917657,17295761.0,1.2094,5315850.0,3.935,3.2536,202274,208059
albert_block_385,albert,92644146,102169859.0,0.9068,86883616.0,1.0663,1.1759,2538,7315
albert_block_40,albert,1661603,12099601.0,0.1373,837427.0,1.9842,14.4485,3481,16107
albert_block_416,albert,84424133,74174605.0,1.1382,70818824.0,1.1921,1.0474,192937,199987
albert_block_457,albert,22956,16688258.0,0.0014,32001.0,0.7174,521.4918,7889,12881
albert_block_465,albert,20871334,13590380.0,1.5357,5163759.0,4.0419,2.6319,201748,207914
albert_block_472,albert,38511,39180.0,0.9829,26290.0,1.4649,1.4903,6479,11640
albert_block_476,albert,30274,25970.0,1.1657,23150.0,1.3077,1.1218,6438,11727
albert_block_5,albert,4264,3880.0,1.099,3510.0,1.2148,1.1054,5343,9877
albert_block_51,albert,1760243,17265652.0,0.102,839857.0,2.0959,20.5578,34219,40363
albert_block_52,albert,38429,41200.0,0.9327,26230.0,1.4651,1.5707,6531,12056
albert_block_532,albert,27533,21950.0,1.2544,15581.0,1.7671,1.4088,4481,8534
albert_block_536,albert,12772,6960.0,1.8351,6310.0,2.0241,1.103,1709,8974
albert_block_546,albert,20476612,14962008.0,1.3686,5140099.0,3.9837,2.9108,18227,25849
albert_block_57,albert,12852,6931.0,1.8543,6490.0,1.9803,1.068,1647,9156
albert_block_570,albert,22815347,16731677.0,1.3636,5144425.0,4.435,3.2524,202357,208941
albert_block_577,albert,38263,43110.0,0.8876,40200.0,0.9518,1.0724,6530,11735
albert_block_578,albert,36374,42620.0,0.8534,37821.0,0.9617,1.1269,6506,11552
albert_block_583,albert,28509,21920.0,1.3006,20060.0,1.4212,1.0927,6401,11829
albert_block_595,albert,95615756,116892845.0,0.818,105634265.0,0.9052,1.1066,2411,5906
albert_block_60,albert,1767242,13271298.0,0.1332,858227.0,2.0592,15.4636,33314,40862
albert_block_640,albert,30866,24270.0,1.2718,22980.0,1.3432,1.0561,6525,11630
albert_block_641,albert,12802,6480.0,1.9756,6470.0,1.9787,1.0015,1839,10415
albert_block_652,albert,20420391,8385669.0,2.4352,5176279.0,3.945,1.62,4447,8795
albert_block_654,albert,20722012,17999815.0,1.1512,5292640.0,3.9153,3.4009,17636,24120
albert_block_673,albert,23725633,10547742.0,2.2494,7653794.0,3.0999,1.3781,57233,64091
albert_block_683,albert,39673,41440.0,0.9574,36821.0,1.0775,1.1254,6647,11631
albert_block_689,albert,23587240,10613792.0,2.2223,5261586.0,4.4829,2.0172,202797,210191
albert_block_70,albert,88721242,124619381.0,0.7119,122548533.0,0.724,1.0169,2762,6558
albert_block_741,albert,38244,40260.0,0.9499,27380.0,1.3968,1.4704,6603,11458
albert_block_743,albert,35166,31660.0,1.1107,31020.0,1.1337,1.0206,6529,11496
albert_block_755,albert,20542150,17834915.0,1.1518,5166099.0,3.9763,3.4523,17998,24524
albert_block_756,albert,20710710,12804485.0,1.6175,5324760.0,3.8895,2.4047,17996,24418
albert_block_762,albert,20559455,8532530.0,2.4095,5163199.0,3.9819,1.6526,18159,24162
albert_block_772,albert,22474,24605274.0,0.0009,30880.0,0.7278,796.8029,7687,14373
albert_block_778,albert,20818847,18063525.0,1.1525,7877750.0,2.6427,2.293,56281,62467
albert_block_780,albert,20723296,15572881.0,1.3307,5133418.0,4.0369,3.0336,201357,209022
albert_block_790,albert,34696,35810.0,0.9689,34970.0,0.9922,1.024,6679,11675
albert_block_791,albert,31145,25200.0,1.2359,23680.0,1.3152,1.0642,6480,11701
albert_block_793,albert,21978,21740.0,1.0109,20180.0,1.0891,1.0773,6510,11365
albert_block_794,albert,22903940,11535707.0,1.9855,5181696.0,4.4202,2.2262,201493,207409
albert_block_811,albert,89895507,112180747.0,0.8013,98287890.0,0.9146,1.1413,2498,6144
albert_block_815,albert,83540080,117138178.0,0.7132,99750261.0,0.8375,1.1743,193358,200041
albert_block_851,albert,12772,6680.0,1.912,6410.0,1.9925,1.0421,1690,9209
albert_block_859,albert,20606909,9254454.0,2.2267,5220719.0,3.9471,1.7726,4484,8545
albert_block_861,albert,20536763,12495423.0,1.6435,5160838.0,3.9793,2.4212,18110,24561
albert_block_88,albert,83670989,111730155.0,0.7489,81742254.0,1.0236,1.3669,194067,200970
albert_block_888,albert,20783740,19991967.0,1.0396,7683958.0,2.7048,2.6018,56358,63520
albert_block_942,albert,35141,27680.0,1.2695,27320.0,1.2863,1.0132,6472,11475
albert_block_952,albert,31853,21980.0,1.4492,17520.0,1.8181,1.2546,5263,8619
albert_block_966,albert,20445368,15517361.0,1.3176,5209789.0,3.9244,2.9785,18016,25638
albert_block_968,albert,22798192,16530906.0,1.3791,5185226.0,4.3968,3.1881,19006,23910
albert_block_982,albert,26196,30444979.0,0.0009,32380.0,0.809,940.2402,7866,12781
albert_block_989,albert,33532,37770.0,0.8878,24750.0,1.3548,1.5261,6471,11589
albert_block_990,albert,22604492,10325040.0,2.1893,5225487.0,4.3258,1.9759,202949,208753
albert_block_992,albert,22626884,11759708.0,1.9241,5133456.0,4.4077,2.2908,3634,18237
albert_block_998,albert,34551,41040.0,0.8419,29471.0,1.1724,1.3926,6606,11557
albert_generic_11,albert,924,1880.0,0.4915,1410.0,0.6553,1.3333,6800,11538
albert_generic_27,albert,15747,6631.0,2.3748,6350.0,2.4798,1.0443,6582,11436
bart_batch_matmul_1,bart,191762,15077648.0,0.0127,102631.0,1.8685,146.9112,11891,16479
bart_block_102,bart,22695902,17381061.0,1.3058,5192777.0,4.3707,3.3472,18940,23832
bart_block_120,bart,27219,30283296.0,0.0009,31111.0,0.8749,973.3951,7725,12565
bart_block_13,bart,22672998,15940213.0,1.4224,5199637.0,4.3605,3.0656,19748,23820
bart_block_130,bart,23213649,20897843.0,1.1108,5139799.0,4.5165,4.0659,3521,17966
bart_block_131,bart,23791175,16309215.0,1.4588,8529653.0,2.7892,1.9121,55743,62949
bart_block_136,bart,34655,38811.0,0.8929,23910.0,1.4494,1.6232,6661,11453
bart_block_138,bart,30680,35260.0,0.8701,29891.0,1.0264,1.1796,6649,11332
bart_block_16,bart,23057760,10286780.0,2.2415,5174549.0,4.456,1.988,18339,25290
bart_block_183,bart,26770,20910.0,1.2802,15670.0,1.7084,1.3344,4495,8474
bart_block_187,bart,21360,21760.0,0.9816,20460.0,1.044,1.0635,6803,11728
bart_block_195,bart,23045019,11300816.0,2.0392,5251969.0,4.3879,2.1517,18647,24367
bart_block_212,bart,23827,35749960.0,0.0007,30121.0,0.791,1186.8783,7309,13206
bart_block_221,bart,23084880,16410986.0,1.4067,5191709.0,4.4465,3.161,204995,212988
bart_block_223,bart,23053183,15516051.0,1.4858,5154399.0,4.4725,3.0103,3548,16920
bart_block_232,bart,25207,24870.0,1.0136,23110.0,1.0907,1.0762,6744,11817
bart_block_235,bart,23046040,12863115.0,1.7916,5163029.0,4.4637,2.4914,202201,208428
bart_block_274,bart,33382,40591.0,0.8224,35101.0,0.951,1.1564,6371,11505
bart_block_277,bart,29453,36380.0,0.8096,32431.0,0.9082,1.1218,6674,13249
bart_block_280,bart,21168,21280.0,0.9947,18500.0,1.1442,1.1503,6724,11592
bart_block_287,bart,23202655,14255903.0,1.6276,5170359.0,4.4876,2.7572,4471,8442
bart_block_370,bart,29328,28950.0,1.0131,27520.0,1.0657,1.052,6646,11540
bart_block_380,bart,23184446,12487683.0,1.8566,5157688.0,4.4951,2.4212,4485,8454
bart_block_382,bart,23324292,13424099.0,1.7375,5165628.0,4.5153,2.5987,18059,25040
bart_block_453,bart,35585,30341.0,1.1728,27380.0,1.2997,1.1081,6908,11955
bart_block_461,bart,36636,42610.0,0.8598,37801.0,0.9692,1.1272,6613,11827
bart_block_474,bart,23207191,12176351.0,1.9059,5180538.0,4.4797,2.3504,18465,24375
bart_block_475,bart,23692073,16986449.0,1.3948,5179989.0,4.5738,3.2792,18411,24580
bart_block_48,bart,22311,21030.0,1.0609,15791.0,1.4129,1.3318,6523,11915
bart_block_481,bart,23626351,12133541.0,1.9472,5166068.0,4.5734,2.3487,18283,24597
bart_block_491,bart,27106,28146205.0,0.001,33220.0,0.816,847.2669,7193,12145
bart_block_498,bart,23873432,24150491.0,0.9885,7593686.0,3.1439,3.1803,58176,65230
bart_block_500,bart,23307775,18676258.0,1.248,5279028.0,4.4152,3.5378,203366,209126
bart_block_511,bart,26781,24510.0,1.0927,13640.0,1.9634,1.7969,6488,11594
bart_block_8,bart,23349688,13114367.0,1.7805,5190909.0,4.4982,2.5264,4420,8786
