benchmark_family,agent_version,speedup
albert,paper_original,8.3475
bart,paper_original,6.9545
bert,paper_original,7.7254
convnext_tiny,paper_original,1.0279
distilbert,paper_original,7.1146
efficientnet_b0,paper_original,1.5021
gat,paper_original,0.2492
gin,paper_original,1.2052
gpt2,paper_original,1.2010
mobilenet_v3_small,paper_original,1.3714
resnet50,paper_original,3.1682
resnext50,paper_original,3.1736
t5,paper_original,10.0462
vgg16,paper_original,0.9101
vit_b_16,paper_original,5.2436
whisper_base,paper_original,5.2540
yolov8m,paper_original,1.8300
albert,paper_tf_small,8.0716
bart,paper_tf_small,7.1946
bert,paper_tf_small,8.2781
convnext_tiny,paper_tf_small,1.1013
distilbert,paper_tf_small,7.4481
efficientnet_b0,paper_tf_small,1.4253
gat,paper_tf_small,1.4463
gin,paper_tf_small,2.0663
gpt2,paper_tf_small,1.4144
mobilenet_v3_small,paper_tf_small,1.4730
resnet50,paper_tf_small,3.1267
resnext50,paper_tf_small,3.2961
t5,paper_tf_small,9.6571
vgg16,paper_tf_small,1.7423
vit_b_16,paper_tf_small,5.6169
whisper_base,paper_tf_small,5.0410
yolov8m,paper_tf_small,1.9710
albert,paper_tf_large,8.0256
bart,paper_tf_large,6.3429
bert,paper_tf_large,7.5646
convnext_tiny,paper_tf_large,0.9267
distilbert,paper_tf_large,6.8034
efficientnet_b0,paper_tf_large,1.1959
gat,paper_tf_large,1.3082
gin,paper_tf_large,1.8772
gpt2,paper_tf_large,1.3192
mobilenet_v3_small,paper_tf_large,1.2883
resnet50,paper_tf_large,1.4573
resnext50,paper_tf_large,1.4083
t5,paper_tf_large,8.8480
vgg16,paper_tf_large,0.6324
vit_b_16,paper_tf_large,3.7499
whisper_base,paper_tf_large,4.5106
yolov8m,paper_tf_large,0.4114
