agent_version,checkpoint,speedup
paper_original,100,1.5310
paper_original,200,1.3284
paper_original,300,2.0913
paper_original,400,1.8645
paper_original,500,1.3894
paper_original,600,1.5953
paper_original,700,1.7933
paper_original,800,2.5014
paper_original,900,1.3499
paper_original,1000,2.0885
paper_original,1100,1.8235
paper_original,1200,1.8633
paper_original,1300,2.0586
paper_original,1400,1.2262
paper_original,1500,1.5730
paper_original,1600,1.8256
paper_original,1700,1.8491
paper_original,1800,1.7777
paper_original,1900,1.7866
paper_original,2000,2.3426
paper_original,2100,1.7098
paper_original,2200,1.4766
paper_original,2300,1.0425
paper_original,2400,1.6310
paper_original,2500,2.0808
paper_original,2600,1.7780
paper_original,2700,2.5969
paper_original,2800,2.5892
paper_original,2900,2.3899
paper_original,3000,1.9763
paper_original,3100,1.7587
paper_original,3200,1.2511
paper_original,3300,1.6034
paper_original,3400,1.6258
paper_original,3500,1.6394
paper_original,3600,1.5330
paper_original,3700,0.6889
paper_original,3800,1.6614
paper_original,3900,2.5208
paper_original,4000,1.4942
paper_original,4100,2.5415
paper_original,4200,2.1348
paper_original,4300,2.2709
paper_original,4400,2.3360
paper_original,4500,2.3526
paper_original,4600,2.1346
paper_original,4700,2.2536
paper_original,4800,2.4135
paper_original,4900,2.0381
paper_original,5000,1.8487
paper_original,5100,2.1880
paper_original,5200,1.1703
paper_original,5300,1.8638
paper_original,5400,1.1986
paper_original,5500,0.8278
paper_original,5600,1.8891
paper_original,5700,0.9264
paper_original,5800,1.5412
paper_original,5900,1.1024
paper_original,6000,1.8650
paper_original,6100,2.6843
paper_original,6200,1.1795
paper_original,6300,0.1579
paper_original,6400,0.6900
paper_original,6500,1.1880
paper_original,6600,1.5027
paper_original,6700,1.7319
paper_original,6800,0.8511
paper_original,6900,1.5431
paper_original,7000,2.4280
paper_original,7100,2.4596
paper_original,7200,2.2945
paper_original,7300,0.4692
paper_original,7400,2.1462
paper_original,7500,2.4945
paper_original,7600,2.6435
paper_original,7700,2.5441
paper_original,7800,2.5450
paper_original,7900,2.3695
paper_original,8000,2.1511
paper_original,8100,1.0955
paper_original,8200,2.6547
paper_original,8300,2.2487
paper_original,8400,2.5680
paper_original,8500,1.3130
paper_original,8600,1.2789
paper_original,8700,1.6251
paper_original,8800,2.0026
paper_original,8900,2.3706
paper_original,9000,1.9011
paper_original,9100,0.2148
paper_original,9200,1.7859
paper_original,9300,2.2029
paper_original,9400,0.9538
paper_original,9500,2.5480
paper_original,9600,1.9360
paper_original,9700,1.8524
paper_original,9800,2.7589
paper_original,9900,1.7322
paper_original,10000,1.9081
paper_original,10100,1.8217
paper_original,10200,2.1693
paper_original,10300,1.6343
paper_original,10400,1.8481
paper_original,10500,1.8155
paper_original,10600,1.8500
paper_original,10700,2.4371
paper_original,10800,2.6305
paper_original,10900,2.1794
paper_original,11000,2.4009
paper_original,11100,1.6940
paper_original,11200,1.6968
paper_original,11300,2.1750
paper_original,11400,2.0350
paper_original,11500,2.0865
paper_original,11600,2.3741
paper_original,11700,2.2361
paper_original,11800,2.2828
paper_original,11900,1.9029
paper_original,12000,2.3658
paper_original,12100,2.4032
paper_original,12200,3.0084
paper_original,12300,2.4030
paper_original,12400,2.8757
paper_original,12500,2.4445
paper_original,12600,2.3486
paper_original,12700,1.9147
paper_original,12800,1.8714
paper_original,12900,1.8910
paper_original,13000,1.9981
paper_original,13100,1.8930
paper_original,13200,2.1663
paper_original,13300,2.1113
paper_original,13400,2.1824
paper_original,13500,2.1984
paper_original,13600,2.4290
paper_original,13700,2.3636
paper_original,13800,2.4023
paper_original,13900,2.4807
paper_original,14000,2.6612
paper_original,14100,2.4873
paper_original,14200,1.9982
paper_original,14300,2.2323
paper_original,14400,2.0836
paper_original,14500,2.0866
paper_original,14600,2.2640
paper_original,14700,2.3585
