benchmark_family,agent_version,speedup
albert,paper_original,6.9392
bart,paper_original,5.6200
bert,paper_original,7.0499
convnext_tiny,paper_original,0.7669
distilbert,paper_original,5.9247
efficientnet_b0,paper_original,1.2376
gat,paper_original,1.7000
gin,paper_original,7.5066
gpt2,paper_original,1.1856
llama3_2_1b,paper_original,196.4559
mobilenet_v3_small,paper_original,1.3742
resnet50,paper_original,1.1042
resnext50,paper_original,1.2372
t5,paper_original,6.9947
vgg16,paper_original,1.6235
vit_b_16,paper_original,3.0809
whisper_base,paper_original,4.6777
yolov8m,paper_original,1.1979
albert,paper_tf_small,9.0101
bart,paper_tf_small,7.2564
bert,paper_tf_small,8.4713
convnext_tiny,paper_tf_small,0.8790
distilbert,paper_tf_small,7.6958
efficientnet_b0,paper_tf_small,1.4017
gat,paper_tf_small,0.9073
gin,paper_tf_small,1.4106
gpt2,paper_tf_small,1.3730
llama3_2_1b,paper_tf_small,238.2355
mobilenet_v3_small,paper_tf_small,1.3581
resnet50,paper_tf_small,1.8450
resnext50,paper_tf_small,1.8686
t5,paper_tf_small,10.0422
vgg16,paper_tf_small,0.8828
vit_b_16,paper_tf_small,5.5300
whisper_base,paper_tf_small,5.1276
yolov8m,paper_tf_small,1.4271
albert,paper_tf_large,8.0256
bart,paper_tf_large,6.3429
bert,paper_tf_large,7.5646
convnext_tiny,paper_tf_large,0.9267
distilbert,paper_tf_large,6.8034
efficientnet_b0,paper_tf_large,1.1959
gat,paper_tf_large,1.3082
gin,paper_tf_large,1.8772
gpt2,paper_tf_large,1.3192
llama3_2_1b,paper_tf_large,218.9669
mobilenet_v3_small,paper_tf_large,1.2883
resnet50,paper_tf_large,1.4573
resnext50,paper_tf_large,1.4083
t5,paper_tf_large,8.8480
vgg16,paper_tf_large,0.6324
vit_b_16,paper_tf_large,3.7499
whisper_base,paper_tf_large,4.5106
yolov8m,paper_tf_large,0.4114
