model,v45_speedup,v45_n,ntr_speedup,ntr_n,nhw_speedup,nhw_n,nrw_speedup,nrw_n
albert,5.6500,178,4.2960,178,7.2770,178,7.4104,178
bart,7.8200,77,6.2144,77,9.4929,77,9.7331,77
bert,6.3000,150,5.2575,150,7.7845,150,8.0063,150
convnext_tiny,1.6100,43,0.7190,43,1.2484,43,0.7470,43
distilbert,5.8500,77,4.0256,77,7.2829,77,7.5253,77
efficientnet_b0,1.7900,109,1.2135,109,2.3797,109,2.7759,109
gat,1.0200,3,0.6693,3,1.2567,3,1.3600,3
gin,2.5600,8,1.5484,8,2.2697,8,1.0109,8
gpt2,0.5800,80,0.3248,80,0.8549,80,1.2138,80
llama3_2_1b,7.2000,184,4.8717,184,9.8872,184,11.4862,184
mobilenet_v3,1.3800,63,0.9871,63,1.7888,63,2.2829,63
resnet50,2.2300,65,1.5904,65,2.7938,65,9.8135,65
resnext50,2.1500,57,1.2635,57,3.0228,57,10.4987,57
t5,6.8000,86,4.8895,86,9.0317,86,10.2153,86
vgg16,2.0900,6,1.2104,6,3.0055,6,3.1559,6
vit_b_16,4.1200,123,2.6949,123,5.5324,123,7.8540,123
whisper_base,3.2500,91,2.1828,91,4.3336,91,5.1856,91
yolov8m,5.2500,6,4.6063,6,5.8952,6,8.3999,6
