model,bench_count,sum_baseline_ns,V0_valid,V0_total_speedup,V0_sum_opt_ns,No-Reward_valid,No-Reward_total_speedup,No-Reward_sum_opt_ns
albert,48,188613474,48,0.4398,428893852.0,48,7.9968,23586013.0
bart,34,225044132,,,,33,6.7178,33499438.0
bert,38,228852883,38,0.4122,555173126.0,38,5.3061,43130424.0
convnext_tiny,85,2021942153,85,1.3244,1526631313.0,84,4.3265,467338741.0
distilbert,35,183607402,35,0.5656,324609389.0,35,5.1496,35654914.0
efficientnet_b0,115,236261355,115,0.2058,1148105265.0,115,1.4813,159493061.0
gat,23,14936314,,,312474894.0,23,1.5,20218033.0
gin,11,5354003,,,144516029.0,11,0.9734,5500479.0
gpt2,33,474007117,,,,33,1.5,1077434760.0
llama3_2_1b,37,11861697160,,,,37,9.6174,1233353852.0
mobilenet_small,150,30784773,150,2.5,1478297305.0,150,1.7551,17540262.0
resnet50,80,2598612131,80,1.5679,1657370290.0,79,4.9815,521647678.0
resnext50,62,2588740780,62,1.998,1295656405.0,62,3.7669,687229038.0
t5,34,93843421,,,,34,10.5836,8866861.0
vgg16,24,13828643906,24,1.09,2850429497.0,24,2.9665,4661608389.0
vit_b_16,36,3481498143,,,,36,2.3532,1479502639.0
whisper_base,43,12116969081,,,,43,3.3401,3627761774.0
yolov8m,30,2685659156,,,,30,2.4492,1096534823.0
