cluster,agent,group,group_type,geo_mean,avg,count
bergamo,No-Reward (HW),albert,model,7.6684,12.9358,175
bergamo,No-Reward (HW),bart,model,9.8114,16.0046,76
bergamo,No-Reward (HW),bert,model,8.104,14.7807,149
bergamo,No-Reward (HW),convnext_tiny,model,0.7605,1.5528,39
bergamo,No-Reward (HW),distilbert,model,7.9187,14.9026,75
bergamo,No-Reward (HW),efficientnet_b0,model,2.8365,5.0181,100
bergamo,No-Reward (HW),gat,model,1.141,1.141,2
bergamo,No-Reward (HW),gin,model,1.0065,1.007,7
bergamo,No-Reward (HW),gpt2,model,1.2038,1.2191,78
bergamo,No-Reward (HW),llama3_2_1b,model,10.4934,18.7267,190
bergamo,No-Reward (HW),mobilenet_v3_small,model,2.6444,4.4188,49
bergamo,No-Reward (HW),resnet50,model,10.8921,11.755,57
bergamo,No-Reward (HW),resnext50,model,11.6149,12.3972,50
bergamo,No-Reward (HW),synthetic,model,0.9737,1.8267,725
bergamo,No-Reward (HW),t5,model,10.8789,16.4258,84
bergamo,No-Reward (HW),vit_b_16,model,8.1156,13.0678,120
bergamo,No-Reward (HW),whisper_base,model,5.1134,9.0924,90
bergamo,No-Reward (HW),yolov8m,model,10.1311,10.7709,3
bergamo,No-Reward (No-HW),albert,model,4.0802,7.4288,175
bergamo,No-Reward (No-HW),bart,model,4.5659,8.0718,76
bergamo,No-Reward (No-HW),bert,model,4.1278,7.7403,149
bergamo,No-Reward (No-HW),convnext_tiny,model,0.5896,0.9121,39
bergamo,No-Reward (No-HW),distilbert,model,4.2744,8.5853,75
bergamo,No-Reward (No-HW),efficientnet_b0,model,1.5035,2.5803,100
bergamo,No-Reward (No-HW),gat,model,0.3753,0.386,2
bergamo,No-Reward (No-HW),gin,model,0.8157,0.8797,7
bergamo,No-Reward (No-HW),gpt2,model,0.6812,0.7125,78
bergamo,No-Reward (No-HW),llama3_2_1b,model,4.6147,7.3839,181
bergamo,No-Reward (No-HW),mobilenet_v3_small,model,1.5743,2.5489,49
bergamo,No-Reward (No-HW),resnet50,model,4.183,4.8448,57
bergamo,No-Reward (No-HW),resnext50,model,4.7234,5.5854,50
bergamo,No-Reward (No-HW),synthetic,model,0.5369,0.7898,708
bergamo,No-Reward (No-HW),t5,model,5.3637,8.0995,84
bergamo,No-Reward (No-HW),vit_b_16,model,2.5575,3.5719,120
bergamo,No-Reward (No-HW),whisper_base,model,1.997,2.7994,90
bergamo,No-Reward (No-HW),yolov8m,model,4.3909,5.3326,3
