cluster,agent,group,group_type,geo_mean,avg,count
dalma,No-Reward (HW),albert,model,4.3646,7.3247,175
dalma,No-Reward (HW),bart,model,5.4321,8.8338,76
dalma,No-Reward (HW),bert,model,4.1783,7.454,149
dalma,No-Reward (HW),convnext_tiny,model,0.677,1.0979,39
dalma,No-Reward (HW),distilbert,model,3.8459,7.2378,75
dalma,No-Reward (HW),efficientnet_b0,model,1.7262,3.0567,100
dalma,No-Reward (HW),gat,model,1.5,1.52,2
dalma,No-Reward (HW),gin,model,0.5541,0.6662,7
dalma,No-Reward (HW),gpt2,model,2.0,2.05,78
dalma,No-Reward (HW),llama3_2_1b,model,4.6827,7.1972,181
dalma,No-Reward (HW),mobilenet_v3,model,1.6515,2.678,49
dalma,No-Reward (HW),resnet50,model,5.3201,6.099,57
dalma,No-Reward (HW),resnext50,model,5.5377,6.4538,50
dalma,No-Reward (HW),t5,model,5.7433,8.9199,84
dalma,No-Reward (HW),vit_b_16,model,2.9855,4.4666,120
dalma,No-Reward (HW),whisper_base,model,1.8896,2.8332,90
dalma,No-Reward (HW),yolov8m,model,3.6915,4.8889,3
dalma,No-Reward (No-HW),albert,model,4.3306,7.6676,175
dalma,No-Reward (No-HW),bart,model,5.3184,9.1732,76
dalma,No-Reward (No-HW),bert,model,4.4706,8.6701,149
dalma,No-Reward (No-HW),convnext_tiny,model,1.2,1.3,39
dalma,No-Reward (No-HW),distilbert,model,3.9958,7.7106,75
dalma,No-Reward (No-HW),efficientnet_b0,model,2.0502,3.7295,100
dalma,No-Reward (No-HW),gat,model,1.4,1.42,2
dalma,No-Reward (No-HW),gin,model,1.05,1.1,7
dalma,No-Reward (No-HW),gpt2,model,1.8,1.83,78
dalma,No-Reward (No-HW),llama3_2_1b,model,5.632,9.474,156
dalma,No-Reward (No-HW),mobilenet_v3,model,1.9231,3.156,49
dalma,No-Reward (No-HW),resnet50,model,6.2308,7.2841,57
dalma,No-Reward (No-HW),resnext50,model,5.5077,6.682,46
dalma,No-Reward (No-HW),t5,model,5.8627,9.2872,84
dalma,No-Reward (No-HW),vit_b_16,model,2.7708,4.0566,120
dalma,No-Reward (No-HW),whisper_base,model,2.1053,3.4832,90
dalma,No-Reward (No-HW),yolov8m,model,4.8591,5.8886,3
