cluster,agent,group,group_type,geo_mean,avg,count
jubail,No-Reward (HW),albert,model,7.385,12.5627,175
jubail,No-Reward (HW),bart,model,9.6018,15.9387,76
jubail,No-Reward (HW),bert,model,7.4027,13.4899,149
jubail,No-Reward (HW),convnext_tiny,model,1.1278,1.7695,39
jubail,No-Reward (HW),distilbert,model,7.0855,13.4409,75
jubail,No-Reward (HW),efficientnet_b0,model,2.5977,4.3826,100
jubail,No-Reward (HW),gat,model,0.7451,0.7458,2
jubail,No-Reward (HW),gin,model,0.6384,0.6429,7
jubail,No-Reward (HW),gpt2,model,1.1484,1.1669,78
jubail,No-Reward (HW),llama3_2_1b,model,8.9962,15.1743,181
jubail,No-Reward (HW),mobilenet_v3_small,model,2.3519,3.7554,49
jubail,No-Reward (HW),resnet50,model,7.8767,8.9085,57
jubail,No-Reward (HW),resnext50,model,7.4958,8.542,50
jubail,No-Reward (HW),synthetic,model,0.8116,1.4392,700
jubail,No-Reward (HW),t5,model,11.0219,16.6627,84
jubail,No-Reward (HW),vit_b_16,model,5.1629,7.9537,120
jubail,No-Reward (HW),whisper_base,model,3.5342,6.4139,90
jubail,No-Reward (HW),yolov8m,model,9.5405,10.1667,3
jubail,No-Reward (No-HW),albert,model,7.1238,12.0705,175
jubail,No-Reward (No-HW),bart,model,8.4695,14.2244,76
jubail,No-Reward (No-HW),bert,model,7.063,13.0913,149
jubail,No-Reward (No-HW),convnext_tiny,model,1.0611,1.6478,39
jubail,No-Reward (No-HW),distilbert,model,6.8727,13.1179,75
jubail,No-Reward (No-HW),efficientnet_b0,model,2.6269,4.3465,100
jubail,No-Reward (No-HW),gat,model,0.9102,0.9146,2
jubail,No-Reward (No-HW),gin,model,0.6476,0.6503,7
jubail,No-Reward (No-HW),gpt2,model,1.1223,1.1419,78
jubail,No-Reward (No-HW),llama3_2_1b,model,8.7158,14.758,181
jubail,No-Reward (No-HW),mobilenet_v3_small,model,2.3787,3.7952,49
jubail,No-Reward (No-HW),resnet50,model,8.0919,9.1995,57
jubail,No-Reward (No-HW),resnext50,model,8.2242,9.1836,50
jubail,No-Reward (No-HW),synthetic,model,0.8134,1.419,682
jubail,No-Reward (No-HW),t5,model,10.9591,16.7546,84
jubail,No-Reward (No-HW),vit_b_16,model,4.931,7.5818,120
jubail,No-Reward (No-HW),whisper_base,model,3.3972,5.9438,90
jubail,No-Reward (No-HW),yolov8m,model,6.9282,8.473,3
