model,mlir_baseline,pytorch_eager,pytorch_jit,mlir_rl_v0,mlir_rl_v45,v0_speedup,v45_speedup,count,v0_speedup_calc,v45_speedup_calc,pytorch_eager_speedup,pytorch_jit_speedup
Albert,43007993.5625,96844.46022727272,103477.38636363637,22981414.613636363,40888916.47159091,2.274386931818182,1.8524840909090907,176,1.871424987780368,1.0518252199806126,444.09348208012796,415.62697970900535
Albert Generic 11,924.0,6800.0,11538.0,1880.0,1410.0,0.4915,0.6553,1,0.49148936170212765,0.6553191489361702,0.13588235294117648,0.08008320332813312
Albert Generic 27,15747.0,6582.0,11436.0,6631.0,6350.0,2.3748,2.4798,1,2.3747549389232394,2.4798425196850395,2.392433910665451,1.3769674711437565
Bart,47279503.46753247,110483.98701298701,117112.33766233767,15020182.441558441,37113460.48051948,3.0278155844155843,2.054753246753247,77,3.14773163718156,1.273917949320545,427.9308227895046,403.7106970219514
Bench 1,14608100176.0,345829689.0,345951586.0,14053968737.0,,1.0394,,1,1.039428822517666,,42.24073479128045,42.22585115132266
Bench 100,12235509525.0,122058089.0,122021590.0,489760849.0,30719932657.0,24.9826,0.3983,1,24.982620701476282,0.39829219880180805,100.24333188601699,100.273316590941
Bench 1002,5613195969.0,35056464.0,35018264.0,499464410.0,25273506035.0,11.2384,0.2221,1,11.238430319789952,0.2220980326681454,160.1187150249951,160.29338201916576
Bench 1034,1359064.0,101558.0,106595.0,20987372.0,1526561.0,0.0648,0.8903,1,0.06475627343909471,0.8902782135794115,13.382146162783828,12.749791266006849
Bench 1036,17121206.0,1517286.0,1519797.0,65946575.0,34028207.0,0.2596,0.5031,1,0.2596223685612179,0.5031474623391118,11.284099372168464,11.265455847063786
Bench 1041,286682.0,5934.0,11171.0,34761309.0,201771.0,0.0082,1.4208,1,0.00824715778108356,1.4208285630739799,48.31176272328952,25.66305612747292
Bench 1046,298977623.0,185937153.0,185985042.0,142442996.0,1599223334.0,2.0989,0.187,1,2.0989282126584867,0.18695176379911424,1.6079498807857944,1.6075358522649363
Bench 1047,1885648.0,27663.0,34129.0,11667403.0,2317415.0,0.1616,0.8137,1,0.1616167711015039,0.813685938858599,68.16498572099917,55.25060798734214
Bench 1049,50381926.0,13332555.0,13341266.0,149837822.0,117770187.0,0.3362,0.4278,1,0.3362430481671043,0.4277986414337612,3.7788650412467826,3.7763976821989758
Bench 1050,1402454974.0,738486533.0,738545903.0,1323181169.0,3761656877.0,1.0599,0.3728,1,1.0599115275045152,0.3728290537542295,1.8990934991092112,1.8989408353674124
Bench 1053,193463236.0,92160657.0,92714101.0,278921503.0,346666636.0,0.6936,0.5581,1,0.693611765027668,0.5580670762905491,2.0991954951015592,2.0866646379928766
Bench 1058,1174244.0,18582.0,28042.0,63591610.0,2888040.0,0.0185,0.4066,1,0.018465391896824127,0.4065885514051052,63.192551931977185,41.874474003280795
Bench 1059,27060973.0,1794898.0,1794096.0,242053882.0,28216589.0,0.1118,0.959,1,0.11179731048477876,0.9590448016236123,15.076607695813355,15.083347267927692
Bench 1077,533670441.0,385657.0,394892.0,394844912.0,4295150888.0,1.3516,0.1242,1,1.3515950814632758,0.12424952112648574,1383.7955514874616,1351.4339135763703
Bench 108,6408551327.0,34483313.0,34431403.0,1150876174.0,14061728407.0,5.5684,0.4557,1,5.568410808893851,0.45574421162975887,185.8450006529245,186.12518714384075
Bench 1100,3294212125.0,158940.0,167186.0,677859571.0,8431240817.0,4.8597,0.3907,1,4.859726506686736,0.39071498448459036,20726.136435132754,19703.875474022945
Bench 1107,7311621610.0,97986843.0,98310064.0,382214342.0,22663674516.0,19.1296,0.3226,1,19.129636977358636,0.32261412882708734,74.61840167664143,74.37307344240972
Bench 1109,8295836001.0,1753550930.0,1752750630.0,2726640971.0,25455369277.0,3.0425,0.3259,1,3.042511313089192,0.3258972954085423,4.730878276230049,4.733038379224545
Bench 1111,153660473.0,19452.0,27113.0,2669873344.0,1325018419.0,0.0576,0.116,1,0.057553469098195545,0.11596855620767035,7899.469103434094,5667.40947147125
Bench 1121,-1.0,2280648472.0,2283520524.0,,,,,1,,,-4.3847178216073623e-10,-4.3792030309774436e-10
Bench 1125,49380117.0,637076.0,692704.0,193242425.0,99912287.0,0.2555,0.4942,1,0.255534554588621,0.49423467806316956,77.51055917975249,71.28602837575646
Bench 1127,8275859705.0,35882.0,43268.0,3522912435.0,34513758699.0,2.3492,0.2398,1,2.3491528267292856,0.23978436475653359,230640.98168998383,191269.7537441065
Bench 1155,4050419822.0,9667644904.0,9743117120.0,2823855852.0,,1.4344,,1,1.4343578547507247,,0.41896654896004026,0.4157211467452831
Bench 1163,-1.0,526102996.0,526711695.0,,,,,1,,,-1.900768495148429e-09,-1.898571855329698e-09
Bench 1166,21518885.0,18781.0,27830.0,56451855.0,38830208.0,0.3812,0.5542,1,0.38119004238213255,0.5541789783871361,1145.7795112081358,773.2261947538627
Bench 1176,2564845.0,203031.0,207445.0,17686551.0,6733754.0,0.145,0.3809,1,0.14501668527685246,0.3808937778243755,12.632775290472884,12.363975993636867
Bench 1196,2660529080.0,2273336985.0,2276168841.0,2934021154.0,12669565804.0,0.9068,0.21,1,0.9067859229211269,0.20999370626892558,1.1703188297884486,1.168862797907003
Bench 1214,416494502.0,24654090.0,24721078.0,450060789.0,902375526.0,0.9254,0.4616,1,0.9254183261008325,0.4615534109687279,16.893525658420163,16.84774838702422
Bench 1234,319434411.0,125897.0,134384.0,246564910.0,573792049.0,1.2955,0.5567,1,1.2955388136941304,0.5567076287597704,2537.267853880553,2377.0271088820095
Bench 1235,3431469288.0,56106999.0,56249775.0,366625435.0,6580725386.0,9.3596,0.5214,1,9.359605091228872,0.5214424074434398,61.15938027624682,61.004142469903215
Bench 130,2805044.0,1232635.0,1241601.0,18644427.0,2917709.0,0.1504,0.9614,1,0.15044946138596804,0.9613857996119558,2.275648509088254,2.2592153195752904
Bench 1333,9704663.0,124208.0,131691.0,31376148.0,32314505.0,0.3093,0.3003,1,0.3093006509275772,0.3003190981882594,78.132350573232,73.6926821119135
Bench 1350,1720612551.0,7648785.0,7587163.0,361773574.0,6017489437.0,4.756,0.2859,1,4.756048187754034,0.2859352839774665,224.95240106762054,226.77943666163492
Bench 1357,22700997.0,25565.0,34591.0,71975082.0,65473221.0,0.3154,0.3467,1,0.31540077995326216,0.34672186052981874,887.9717191472716,656.268884970079
Bench 1366,6099301506.0,70914.0,80093.0,2283589245.0,24579049032.5,2.6709,0.2482,1,2.670927584439556,0.248150426728679,86009.83594212709,76152.74126328144
Bench 1382,15336999369.0,229125.0,236461.0,6455901164.0,72965976083.5,2.3757,0.2102,1,2.375655850266669,0.21019384913660052,66937.25856628479,64860.58744993889
Bench 1392,135457393.0,998062.0,1006527.0,84290610.0,126825496.0,1.607,1.0681,1,1.6070282680360244,1.0680612122344864,135.72041917235603,134.57899589380116
Bench 1409,44674455.0,26334.0,34357.0,100556362.0,140276314.0,0.4443,0.3185,1,0.44427278504765316,0.31847468561228376,1696.4553429027114,1300.3013941845911
Bench 1411,296076970.0,371042579.0,371321146.0,980103481.0,837399904.0,0.3021,0.3536,1,0.30208745886496857,0.3535669977817432,0.7979595516987823,0.7973609184110404
Bench 1417,310588582.0,979274.0,947164.0,255753588.0,1329661520.0,1.2144,0.2336,1,1.2144055707245835,0.2335846960510672,317.1620833392901,327.91425983251054
