model,mlir_baseline,pytorch_eager,pytorch_jit,mlir_rl_v0,mlir_rl_v45,count,v0_speedup,v45_speedup,pytorch_eager_speedup,pytorch_jit_speedup
ALBERT,42524851.33707865,95831.5,102443.78651685391,22723244.286516853,40429534.03932584,178,1.871425171550497,7.4104,443.7460682247346,415.1042516383609
BART,47279503.46753247,110483.987012987,117112.33766233768,15020182.44155844,37113460.48051948,77,3.14773163718156,9.7331,427.9308227895046,403.7106970219514
BERT,42333841.40969163,121520.02202643172,128753.51982378856,14116241.449339207,33164048.462555066,227,2.9989456868969406,8.0063,348.36927037820675,328.79754640983424
CONVNEXT,6876715.697674419,136872.27906976745,144757.13953488372,32899505.627906974,22398025.720930237,43,0.2090218550834773,0.747,50.24184403453364,47.5051919357474
EFFICIENTNET,11260105.66972477,125549.88990825688,133352.0733944954,31691836.16513761,15800443.247706424,109,0.3552998826275446,2.7759,89.68630460729891,84.43892459335073
GAT,372594.3333333333,19208.33333333333,26020.33333333333,6261585.0,1056343.6666666667,3,0.0595047952448674,1.36,19.39753579175705,14.319352813825086
GIN,3348155.25,9338.0,17788.625,24847198.125,4855577.75,8,0.1347498109507669,1.0109,358.55164382094665,188.21888988047135
GPT2,47132.875,7188.3875,12536.375,2108835.4875,51729.8625,80,0.0223501905574794,1.2138,6.556807768084289,3.759689304124996
LLAMA,806101508.5054348,2017202.222826087,2027317.9673913044,157499107.89130434,1358955571.9130435,184,5.118133805949896,11.4862,399.6136328741954,397.6196736137565
MOBILENET,1405250.4603174604,42836.53968253968,48977.53968253968,26055674.15873016,1972162.031746032,63,0.0539326079899805,2.2829,32.804948082448526,28.69173236193461
RESNET,85341460.6923077,453706.7076923077,478489.09230769234,37699039.35384616,232040307.30769232,65,2.263756906145168,9.8135,188.09830061005863,178.35612569706998
RESNEXT,143036190.9649123,491148.8771929825,521780.350877193,40366011.2368421,498630305.4035088,57,3.5434809281914634,10.4987,291.2277673979298,274.1310413940396
T5,26916215.290697675,52957.70930232558,60176.13953488372,16225315.46511628,24183608.558139537,86,1.6589024323481638,10.2153,508.258677448416,447.2904958466889
VGG,780197632.1666666,9740341.333333334,9748432.833333334,87809181.5,1954828974.6666667,6,8.88514866940955,3.1559,80.09961925016727,80.03313409504094
VIT,788473944.398374,976686.0975609756,999204.3333333334,126740819.11382112,2614630560.280488,123,6.221152347849948,7.854,807.2951446400092,789.1018064023348
WHISPER,993901353.68,1025333.84,1069170.2,199461326.68,3769603707.2266665,75,4.982927619219824,5.1856,969.3441442252604,929.6006881598458
YOLO,1133201980.1666667,7672866.333333333,7696037.666666667,653507599.6666666,7898602797.333333,6,1.7340303016287446,8.3999,147.6895244797479,147.24485888041175
