model,mlir_baseline,pytorch_eager,pytorch_jit,mlir_rl_v0,mlir_rl_v45,count,v0_speedup,v45_speedup,pytorch_eager_speedup,pytorch_jit_speedup
ALBERT,42524851.33707865,95831.5,102443.78651685393,22723244.286516853,40429534.03932584,178,1.871425171550497,1.0518264023452433,443.7460682247346,415.1042516383609
BART,47279503.46753247,110483.98701298701,117112.33766233767,15020182.441558441,37113460.48051948,77,3.14773163718156,1.273917949320545,427.9308227895046,403.7106970219514
BERT,42333841.40969163,121520.02202643172,128753.51982378855,14116241.449339207,33164048.462555066,227,2.9989456868969406,1.2764979962410203,348.36927037820675,328.79754640983424
CONVNEXT,6876715.697674419,136872.27906976745,144757.13953488372,32899505.627906978,22398025.720930234,43,0.20902185508347731,0.30702329675639,50.241844034533635,47.5051919357474
EFFICIENTNET,11260105.66972477,125549.88990825688,133352.0733944954,31691836.165137615,15800443.247706423,109,0.35529988262754464,0.7126449235124639,89.68630460729891,84.43892459335073
GAT,372594.3333333333,19208.333333333332,26020.333333333332,6261585.0,1056343.6666666667,3,0.059504795244867445,0.3527207528105594,19.39753579175705,14.319352813825086
GIN,3348155.25,9338.0,17788.625,24847198.125,4855577.75,8,0.1347498109507669,0.6895482726025755,358.55164382094665,188.21888988047138
GPT2,47132.875,7188.3875,12536.375,2108835.4875,51729.8625,80,0.02235019055747942,0.9111347434955969,6.556807768084289,3.759689304124996
LLAMA,806101508.5054348,2017202.222826087,2027317.9673913044,157499107.89130434,1358955571.9130435,184,5.1181338059498955,0.5931772349044943,399.6136328741954,397.6196736137565
MOBILENET,1405250.4603174604,42836.53968253968,48977.53968253968,26055674.15873016,1972162.0317460317,63,0.05393260798998056,0.7125431063457486,32.804948082448526,28.69173236193461
RESNET,85341460.6923077,453706.7076923077,478489.09230769234,37699039.353846155,232040307.30769232,65,2.2637569061451677,0.3677872249114995,188.09830061005863,178.35612569706998
RESNEXT,143036190.9649123,491148.8771929825,521780.350877193,40366011.2368421,498630305.4035088,57,3.5434809281914634,0.28685819817783137,291.2277673979298,274.1310413940396
T5,26916215.290697675,52957.70930232558,60176.13953488372,16225315.46511628,24183608.558139537,86,1.6589024323481638,1.1129941681775368,508.258677448416,447.2904958466889
VGG,780197632.1666666,9740341.333333334,9748432.833333334,87809181.5,1954828974.6666667,6,8.88514866940955,0.3991129875183604,80.09961925016727,80.03313409504094
VIT,788473944.398374,976686.0975609756,999204.3333333334,126740819.11382113,2614630560.280488,123,6.221152347849948,0.30156227666588176,807.2951446400092,789.1018064023348
WHISPER,993901353.68,1025333.84,1069170.2,199461326.68,3769603707.2266665,75,4.982927619219824,0.2636620267999531,969.3441442252603,929.6006881598458
YOLO,1133201980.1666667,7672866.333333333,7696037.666666667,653507599.6666666,7898602797.333333,6,1.7340303016287446,0.14346866265376074,147.6895244797479,147.24485888041175
