checkpoint,average_speedup
100,0.2925
200,0.3011
300,0.5137
400,0.4089
500,0.2905
600,0.3567
700,0.3526
800,0.3131
900,0.3052
1000,0.3063
1100,0.2893
1200,0.4433
1300,0.4439
1400,0.4439
1500,0.4440
1600,0.4439
1700,0.4443
1800,0.4457
1900,0.4435
2000,0.4433
2100,0.4456
2200,0.4429
2300,0.4446
2400,0.4428
2500,0.4435
2600,0.4440
2700,0.4437
2800,0.4440
2900,0.4437
3000,0.4465
3100,0.4431
3200,0.4434
3300,0.4440
3400,0.4438
3500,0.4440
3600,0.4440
3700,0.4437
3800,0.4440
3900,0.4437
4000,0.4432
4100,0.4440
4200,0.4440
4300,0.4440
4400,0.4440
4500,0.4440
4600,0.4440
4700,0.4437
4800,0.4423
4900,0.4440
5000,0.4472
5100,0.4425
5200,0.4459
5300,0.4471
5400,0.4445
5500,0.4435
