checkpoint,average_speedup
100,0.2102
200,0.2001
300,0.2276
400,0.2032
500,0.2313
600,0.2208
700,0.2126
900,0.2253
1000,0.2205
1100,0.1987
1200,0.1728
1300,0.1695
1400,0.1694
1500,0.1860
1600,0.2689
1700,0.1501
1800,0.1574
1900,0.1709
2000,0.1991
2100,0.3680
2200,0.3447
2300,0.4141
2400,0.3169
2500,0.2489
2600,0.3161
2700,0.2566
2800,0.1980
2900,0.3079
3000,0.2705
3100,0.3644
3200,0.3603
3300,0.2715
3400,0.3072
3500,0.3381
3600,0.3932
3700,0.3748
3800,0.3888
3900,0.3916
