agent,group,geo_mean,count
V0,albert,0.0309,4
V4.9-L,albert,0.6012,3
V4.9-S,albert,0.0451,4
V0,convnext_tiny,0.6155,9
V4.9-L,convnext_tiny,3.7990,8
V4.9-S,convnext_tiny,0.7294,9
V0,distilbert,0.0036,1
V4.9-L,distilbert,1.3418,1
V4.9-S,distilbert,0.0013,1
V0,efficientnet_b0,0.0834,7
V4.9-L,efficientnet_b0,1.0648,7
V4.9-S,efficientnet_b0,0.5816,7
V0,gat,0.0948,1
V4.9-L,gat,0.5778,1
V4.9-S,gat,0.5541,1
V0,gpt2,0.0268,3
V4.9-L,gpt2,0.6441,3
V4.9-S,gpt2,0.1134,3
V0,mobilenet_v3_small,0.0307,12
V4.9-L,mobilenet_v3_small,0.4329,12
V4.9-S,mobilenet_v3_small,0.0547,12
V0,resnet50,0.9842,9
V4.9-L,resnet50,2.9748,9
V4.9-S,resnet50,3.5865,9
V0,resnext50,1.4705,4
V4.9-L,resnext50,1.4092,3
V4.9-S,resnext50,0.6142,4
V0,t5,0.0253,2
V4.9-L,t5,1.0891,2
V4.9-S,t5,0.0194,2
V0,vit_b_16,2.2299,2
V4.9-L,vit_b_16,3.0079,2
V4.9-S,vit_b_16,1.6032,2
V0,whisper_base,0.9828,4
V4.9-L,whisper_base,10.5989,3
V4.9-S,whisper_base,1.0563,4
V0,yolov8m,0.4583,3
V4.9-L,yolov8m,1.7383,1
V4.9-S,yolov8m,0.3152,3
