checkpoint,average_speedup
100,0.6619
200,0.6500
300,0.5263
400,0.6574
500,0.7218
600,0.5601
700,0.5376
800,0.5739
900,0.7061
1000,0.9078
1100,0.8369
1200,0.8536
1300,0.8387
1400,0.8457
1500,0.6801
1600,0.8102
1700,0.7757
1800,0.8671
1900,0.9772
2000,0.8709
2100,0.9411
2200,0.7468
2300,0.8923
2400,0.8563
2500,0.6633
2600,0.6612
2700,0.5015
2800,0.8670
2900,0.7891
3000,0.8235
3100,0.7171
3200,0.8409
3300,0.8772
3400,0.6648
3500,0.8366
3600,0.8375
3700,1.0129
3800,0.9020
3900,0.8771
4000,0.9066
4100,0.8201
4200,0.7620
4300,0.8580
4400,1.0642
4500,0.9343
4600,0.7791
4700,0.8646
4800,0.9450
4900,0.8942
5000,1.0033
5100,0.9214
5200,0.9102
5300,0.7654
5400,0.8431
5500,0.7059
5600,0.8338
5700,0.7854
5800,0.7542
5900,0.9602
6000,0.7833
6100,0.4370
6200,0.5468
6300,0.4773
6400,0.5363
6500,0.5184
6600,0.5823
6700,0.5788
6800,0.5497
6900,0.5512
7000,0.7296
7100,0.7091
7200,0.7129
7300,0.6690
7400,0.6807
7500,0.6930
7600,0.6827
7700,0.6740
7800,0.6661
7900,0.6587
8000,0.7083
8100,0.6921
8200,0.6921
8300,0.6949
8400,0.7076
8500,0.7039
8600,0.6921
8700,0.6949
8800,0.7072
8900,0.7056
9000,0.7095
