checkpoint,average_speedup
100,0.6266
200,0.7198
300,0.5215
400,0.5942
500,0.7222
600,0.6360
700,0.6142
800,0.6182
900,0.7255
1000,0.9159
1100,0.7991
1200,0.7626
1300,0.7847
1400,0.7629
1500,0.7626
1600,0.7275
1700,0.7743
1800,0.7593
1900,0.6933
2000,0.7916
2100,0.6643
2200,0.7235
2300,0.7028
2400,0.8248
2500,0.7660
2600,0.8650
2700,0.8182
2800,0.6579
2900,0.8745
3000,0.9899
3100,0.8993
3200,1.1728
3300,1.1580
3400,0.9058
3500,0.7591
3600,0.7880
3700,0.7574
3800,0.6799
3900,0.6416
4000,0.7137
4100,0.6444
4200,0.6779
4300,0.6053
4400,0.6011
4500,0.6059
4600,0.6278
4700,0.6129
4800,0.6310
4900,0.6058
5000,0.6089
5100,0.6147
5200,0.6159
5300,0.6128
5400,0.6129
5500,0.6062
5600,0.6107
5700,0.6178
5800,0.6124
5900,0.6274
6000,0.6087
6100,0.6078
6200,0.6194
6300,0.6081
6400,0.6206
6500,0.6385
6600,0.6145
6700,0.5967
6800,0.5819
6900,0.6163
7000,0.6130
7100,0.6040
7200,0.6129
7300,0.6170
7400,0.6130
7500,0.6143
7600,0.6143
7700,0.6143
7800,0.6129
7900,0.6129
8000,0.6129
8100,0.6129
8200,0.6129
8300,0.6129
8400,0.6129
8500,0.6116
8600,0.6129
8700,0.6071
8800,0.6129
8900,0.6129
9000,0.6129
9100,0.6129
9200,0.6129
9300,0.6129
9400,0.6129
9500,0.6129
9600,0.6129
9700,0.6129
9800,0.6129
9900,0.6121
