checkpoint,average_speedup
100,0.2334
200,0.5868
300,0.5760
400,0.8358
500,0.7267
600,0.8355
700,0.9137
800,0.9447
900,0.8468
1000,0.7944
1100,0.6978
1200,1.1927
1300,1.0478
1400,0.9561
1500,1.0306
1600,0.8698
1700,0.7698
1800,0.7491
1900,0.7170
2000,0.8427
2100,0.6824
2200,0.7394
2300,0.8679
2400,0.8901
2500,0.8158
2600,0.8560
2700,0.9188
2800,0.9804
2900,0.9575
3000,1.0100
3100,0.9998
3200,1.0419
3300,0.8839
3400,1.1279
3500,1.0186
3600,1.0639
3700,1.1784
3800,1.2125
3900,1.1720
4000,1.1869
4100,1.1611
4200,1.1679
4300,1.1646
4400,1.1432
4500,1.1509
4600,1.1724
4700,1.1464
4800,1.2102
4900,1.1341
5000,1.0315
5100,0.8851
5200,1.3024
5300,1.2060
5400,1.1627
5500,1.1838
5600,1.4103
5700,1.5545
5800,1.2004
5900,1.1396
6000,1.1341
6100,1.1117
6200,0.9679
6300,1.1040
6400,1.0598
6500,1.1055
6600,1.1107
6700,0.8587
6800,0.8023
6900,0.9014
7000,0.9023
7100,0.9047
7200,0.9044
7300,0.9044
7400,0.9044
7500,0.9044
7600,0.9044
7700,0.9297
7800,0.9044
7900,0.9227
8000,0.9878
8100,1.0269
8200,0.9897
8300,1.0395
8400,1.0129
8500,0.9255
8600,0.9333
8700,1.0232
8800,0.8595
8900,0.9930
9000,0.9623
9100,1.0064
9200,0.9637
9300,1.0089
9400,0.9845
9500,0.9730
9600,0.8746
9700,0.9543
9800,0.9609
9900,0.9231
